Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
95,Antonio Daniels,PG,32,WAS,71,63,30.4,2.9,6.3,0.459,0.2,1,0.23,2.6,5.3,0.504,0.478,2.4,3.1,0.776,0.3,2.5,2.9,4.8,1,0,1.3,1.1,8.4,daniean01
96,Marquis Daniels,SG,27,IND,74,1,20.9,3.3,7.6,0.43,0.4,1.4,0.265,2.9,6.2,0.466,0.454,1.3,1.9,0.698,0.9,2,2.9,1.9,1.1,0.2,1.5,1.6,8.2,daniema01
97,Jermareo Davidson,SF,23,CHA,38,2,8.5,1.3,3.3,0.408,0,0,,1.3,3.3,0.408,0.408,0.5,0.7,0.643,0.6,1.1,1.6,0.3,0.2,0.4,0.4,1.2,3.2,davidje01
98,Baron Davis,PG,28,GSW,82,82,39,7.9,18.6,0.426,2.1,6.4,0.33,5.8,12.2,0.477,0.483,3.9,5.2,0.75,1.2,3.5,4.7,7.6,2.3,0.5,2.8,3,21.8,davisba01
99,Glen Davis,C,22,BOS,69,1,13.6,1.6,3.2,0.484,0,0,,1.6,3.2,0.484,0.484,1.4,2.2,0.66,1.4,1.6,3,0.4,0.4,0.3,0.9,2.3,4.5,davisgl01
100,Paul Davis,PF,23,LAC,22,1,8.8,1.1,3,0.369,0,0,,1.1,3,0.369,0.369,0.3,0.5,0.6,1.1,1,2.1,0.5,0.3,0.3,0.4,1.5,2.5,davispa01
101,Ricky Davis,SF,28,MIA,82,47,36.1,5.1,11.8,0.433,1.6,4.1,0.405,3.5,7.8,0.447,0.502,1.9,2.4,0.787,0.7,3.6,4.3,3.4,1.1,0.2,2.3,2.3,13.8,davisri01
102,Carlos Delfino,SG,25,TOR,82,0,23.5,3.1,7.7,0.397,1.5,3.8,0.382,1.6,3.9,0.412,0.492,1.4,1.9,0.744,0.8,3.6,4.4,1.8,0.8,0.1,0.9,2.2,9,delfica01
103,Luol Deng,SF,22,CHI,63,59,33.8,6.8,14.2,0.479,0.1,0.3,0.364,6.7,13.9,0.482,0.483,3.2,4.2,0.77,2.2,4.1,6.3,2.5,0.9,0.5,1.9,1.9,17,denglu01
104,Boris Diaw,PF,25,PHO,82,19,28.1,3.8,7.9,0.477,0.2,0.5,0.317,3.6,7.4,0.488,0.487,1.2,1.6,0.744,1.2,3.4,4.6,3.9,0.7,0.5,1.9,2,8.8,diawbo01
105,Yakhouba Diawara,SG,25,DEN,54,14,10,1,2.5,0.41,0.4,1.2,0.318,0.6,1.3,0.5,0.489,0.4,0.6,0.71,0.4,0.7,1.1,0.7,0.1,0.1,0.3,1.1,2.8,diawaya01
106,Guillermo Díaz,SG,22,LAC,6,0,3,0.2,0.7,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.5,0.8,0.6,0.3,0,0.3,0.2,0,0,0,0,0.8,diazgu01
107,Dan Dickau,PG,29,LAC,67,8,15.5,1.9,4.4,0.419,0.5,1.6,0.333,1.3,2.8,0.468,0.48,1,1.2,0.829,0.2,1.3,1.4,2.6,0.5,0,0.8,1.6,5.3,dickada01
108,Kaniel Dickens,PF,29,CLE,5,0,2.4,0.2,0.6,0.333,0,0,,0.2,0.6,0.333,0.333,0,0,,0,0.2,0.2,0.2,0,0.2,0,0.2,0.4,dickeka01
109,Travis Diener,PG,25,IND,66,21,20.5,2.4,6.5,0.37,1.1,3.5,0.318,1.3,3,0.431,0.456,1,1.1,0.901,0.4,1.3,1.7,3.8,0.5,0.1,0.8,1.6,6.9,dienetr01
110,Ike Diogu,PF,24,IND,30,1,10.2,2.1,4.5,0.478,0,0,,2.1,4.5,0.478,0.478,1.3,1.6,0.851,1.3,1.6,2.8,0.3,0.2,0.1,0.7,1.4,5.6,dioguik01
111,DeSagana Diop,C,26,TOT,79,23,16.4,1.2,2.3,0.522,0,0,,1.2,2.3,0.522,0.522,0.5,0.9,0.543,2,2.9,5,0.5,0.3,1.1,0.7,1.8,2.9,diopde01
111,DeSagana Diop,C,26,DAL,52,18,17.2,1.3,2.2,0.583,0,0,,1.3,2.2,0.583,0.583,0.5,0.8,0.6,2.1,3.1,5.2,0.5,0.4,1.2,0.8,1.9,3,diopde01
111,DeSagana Diop,C,26,NJN,27,5,14.9,1,2.4,0.415,0,0,,1,2.4,0.415,0.415,0.5,1.1,0.467,1.8,2.7,4.5,0.5,0.2,0.9,0.6,1.7,2.5,diopde01
112,Juan Dixon,PG,29,TOT,53,0,12.6,2,4.9,0.411,0.6,1.4,0.417,1.4,3.5,0.409,0.469,0.4,0.5,0.808,0.3,1.1,1.4,1.8,0.4,0,1,1.2,5,dixonju01
112,Juan Dixon,PG,29,TOR,36,0,11.8,1.6,4.4,0.369,0.5,1.1,0.436,1.2,3.4,0.347,0.422,0.5,0.5,0.947,0.3,1.1,1.3,1.8,0.6,0.1,1,1.1,4.3,dixonju01
112,Juan Dixon,PG,29,DET,17,0,14.4,2.8,5.8,0.48,0.8,1.9,0.394,2,3.8,0.523,0.546,0.2,0.4,0.429,0.4,1.3,1.6,1.9,0,0,1.1,1.4,6.5,dixonju01
113,Michael Doleac,C,30,MIN,24,8,10.7,1.2,2.6,0.444,0,0,,1.2,2.6,0.444,0.444,0,0.1,0.5,0.7,1.4,2,0.3,0.4,0.4,0.5,1.8,2.4,doleami01
114,Keyon Dooling,PG,27,ORL,72,1,18.5,2.8,5.9,0.468,0.3,0.9,0.338,2.4,5,0.492,0.494,2.3,2.7,0.845,0.1,1.3,1.4,1.8,0.5,0.1,0.8,1.8,8.1,doolike01
115,Quincy Douby,PG,23,SAC,74,0,11.8,1.8,4.5,0.394,0.6,1.6,0.344,1.2,2.9,0.423,0.457,0.6,0.7,0.923,0.2,0.9,1.1,0.7,0.4,0.2,0.8,1.1,4.8,doubyqu01
116,Jared Dudley,PF,22,CHA,73,14,19,2.2,4.8,0.468,0.1,0.6,0.22,2.1,4.2,0.502,0.481,1.2,1.6,0.737,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8,dudleja01
117,Chris Duhon,PG,25,CHI,66,18,22.6,2,5.2,0.387,0.8,2.3,0.348,1.2,2.9,0.418,0.465,1,1.2,0.813,0.3,1.5,1.8,4,0.7,0,1.1,1.4,5.8,duhonch01
118,Tim Duncan*,C,31,SAS,78,78,34,7.5,15.1,0.497,0,0.1,0,7.5,15.1,0.498,0.497,4.3,5.9,0.73,3,8.3,11.3,2.8,0.7,1.9,2.3,2.4,19.3,duncati01
119,Mike Dunleavy,SG,27,IND,82,82,36,6.5,13.6,0.476,2,4.7,0.424,4.5,8.9,0.504,0.55,4.1,4.9,0.834,0.7,4.5,5.2,3.5,1,0.4,2.3,2.5,19.1,dunlemi02
120,Ronald Dupree,SF,27,TOT,5,0,4.2,0.2,0.6,0.333,0,0,,0.2,0.6,0.333,0.333,0.4,0.4,1,0.2,1.4,1.6,0.2,0.2,0,0,0,0.8,duprero01
120,Ronald Dupree,SF,27,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,duprero01
120,Ronald Dupree,SF,27,SEA,4,0,4.5,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0.5,0.5,1,0.3,1.8,2,0.3,0.3,0,0,0,1,duprero01
121,Kevin Durant,SG,19,SEA,80,80,34.6,7.3,17.1,0.43,0.7,2.6,0.288,6.6,14.5,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1,0.9,2.9,1.5,20.3,duranke01
122,Monta Ellis,SG,22,GSW,81,72,37.9,8,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4,5.1,0.767,1.6,3.3,5,3.9,1.5,0.3,2.1,2.4,20.2,ellismo01
123,Francisco Elson,C,31,TOT,63,5,12.9,1.5,3.7,0.39,0,0,0,1.5,3.7,0.391,0.39,0.4,0.6,0.703,0.8,2.4,3.2,0.4,0.2,0.3,0.7,1.5,3.3,elsonfr01
123,Francisco Elson,C,31,SAS,41,3,13,1.5,3.6,0.419,0,0,,1.5,3.6,0.419,0.419,0.5,0.6,0.833,0.8,2.5,3.3,0.4,0.2,0.3,0.7,1.5,3.5,elsonfr01
123,Francisco Elson,C,31,SEA,22,2,12.7,1.4,4,0.341,0,0,0,1.4,4,0.345,0.341,0.3,0.6,0.462,0.8,2.2,3,0.4,0.3,0.3,0.8,1.5,3,elsonfr01
124,Melvin Ely,C,29,NOH,52,1,11.9,1.6,3.5,0.472,0,0,,1.6,3.5,0.472,0.472,0.6,1.1,0.552,0.5,2.3,2.8,0.4,0.1,0.3,0.8,1.5,3.9,elyme01
125,Maurice Evans,SG,29,TOT,75,47,22.9,3.5,7.3,0.481,1.1,2.8,0.388,2.4,4.5,0.539,0.555,0.8,1.1,0.711,1.2,1.7,2.9,1.1,0.6,0.1,0.5,1.9,8.9,evansma01
125,Maurice Evans,SG,29,LAL,7,0,13.7,1.3,4,0.321,0.1,1,0.143,1.1,3,0.381,0.339,1.7,2.1,0.8,0.6,0.7,1.3,1.7,0.7,0.1,0,1.4,4.4,evansma01
125,Maurice Evans,SG,29,ORL,68,47,23.9,3.7,7.6,0.489,1.2,3,0.396,2.5,4.6,0.549,0.567,0.7,1,0.691,1.3,1.8,3.1,1,0.6,0.1,0.6,1.9,9.3,evansma01
126,Reggie Evans,PF,27,PHI,81,61,23.2,1.9,4.3,0.439,0,0,1,1.9,4.3,0.438,0.441,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,evansre01
127,Jordan Farmar,PG,21,LAL,82,0,20.6,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4,0.546,0.552,0.6,1,0.679,0.5,1.8,2.2,2.7,0.9,0.1,1.3,1.3,9.1,farmajo01
128,Nick Fazekas,PF,22,TOT,26,0,10.3,1.8,3.2,0.561,0,0.1,0,1.8,3.1,0.575,0.561,0.6,0.8,0.682,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1,4.1,fazekni01
128,Nick Fazekas,PF,22,DAL,4,0,2.3,0.5,1.3,0.4,0,0,,0.5,1.3,0.4,0.4,0,0,,0.3,0.5,0.8,0,0,0,0,0,1,fazekni01
128,Nick Fazekas,PF,22,LAC,22,0,11.8,2,3.5,0.571,0,0.1,0,2,3.4,0.587,0.571,0.7,1,0.682,1.5,2.4,3.9,0.5,0.4,0.5,0.6,1.1,4.7,fazekni01
129,Raymond Felton,PG,23,CHA,79,79,37.6,5.2,12.6,0.413,0.7,2.5,0.28,4.5,10.1,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3,7.4,1.2,0.2,2.7,2.3,14.4,feltora01
130,Kyrylo Fesenko,C,21,UTA,9,0,7.8,0.7,1.8,0.375,0,0,,0.7,1.8,0.375,0.375,0.2,0.4,0.5,1.6,1.2,2.8,0.2,0,0.3,0.9,2.1,1.6,fesenky01
131,Michael Finley,SG,34,SAS,82,61,26.9,3.8,9.3,0.414,1.6,4.4,0.37,2.2,4.9,0.453,0.501,0.8,1,0.8,0.3,2.8,3.1,1.4,0.4,0.1,0.7,1.1,10.1,finlemi01
132,Derek Fisher,PG,33,LAL,82,82,27.4,4.1,9.5,0.436,1.4,3.4,0.406,2.8,6.1,0.453,0.508,2,2.3,0.883,0.3,1.8,2.1,2.9,1,0,1.1,2.3,11.7,fishede01
133,T.J. Ford,PG,24,TOR,51,26,23.5,4.8,10.3,0.469,0.3,1,0.294,4.5,9.3,0.488,0.484,2.2,2.5,0.88,0.5,1.5,2,6.1,1.1,0,2,1.8,12.1,fordtj01
134,Jeff Foster,C,31,IND,77,52,24.5,2.7,4.8,0.55,0,0,0,2.7,4.8,0.554,0.55,1.1,1.9,0.593,3.4,5.2,8.7,1.7,0.7,0.4,0.8,2.9,6.4,fosteje01
135,Randy Foye,PG,24,MIN,39,31,32.3,5.1,11.8,0.429,1.6,3.8,0.412,3.5,8.1,0.436,0.495,1.4,1.7,0.815,0.3,2.9,3.3,4.2,0.9,0.1,2,2.6,13.1,foyera01
136,Adonal Foyle,C,32,ORL,82,0,9.4,0.9,1.9,0.458,0,0,,0.9,1.9,0.458,0.458,0.2,0.4,0.471,0.9,1.7,2.5,0.2,0.2,0.5,0.4,1.1,1.9,foylead01
137,Richie Frahm,SG,30,LAC,10,2,16.3,2,5.4,0.37,0.7,2.5,0.28,1.3,2.9,0.448,0.435,0,0.2,0,0.4,1,1.4,0.8,0.2,0,0.6,0.7,4.7,frahmri01
138,Steve Francis,PG,30,HOU,10,3,19.9,1.9,5.7,0.333,0.4,1.7,0.235,1.5,4,0.375,0.368,1.3,2.3,0.565,0.8,1.5,2.3,3,0.9,0.5,1.4,2.5,5.5,francst01
139,Channing Frye,C,24,POR,78,20,17.2,2.8,5.8,0.488,0,0.1,0.3,2.8,5.7,0.492,0.491,1.1,1.4,0.78,1.4,3.2,4.5,0.7,0.4,0.3,0.7,2.7,6.8,fryech01
140,Dan Gadzuric,C,29,MIL,51,4,10.5,1.3,3,0.416,0,0,0,1.3,3,0.418,0.416,0.6,1.2,0.524,1.3,1.5,2.8,0.2,0.4,0.5,0.7,1.6,3.2,gadzuda01
141,Jorge Garbajosa,PF,30,TOR,7,0,10.6,1.1,3.6,0.32,0.9,2.3,0.375,0.3,1.3,0.222,0.44,0,0,,0.3,1.9,2.1,0.4,0.4,0,0.1,0.3,3.1,garbajo01
142,Francisco García,SF,26,SAC,79,20,26.5,4.4,9.5,0.463,1.4,3.7,0.391,3,5.9,0.508,0.538,2.1,2.6,0.779,0.7,2.7,3.3,1.6,1.2,0.6,1.6,2.9,12.3,garcifr01
143,Thomas Gardner,SG,22,CHI,4,0,11.3,2.3,5.8,0.391,0.8,3,0.25,1.5,2.8,0.545,0.457,0,0.5,0,0.8,0.3,1,0.3,0,0,1,1,5.3,gardnth01
144,Kevin Garnett*,PF,31,BOS,71,71,32.8,7.5,13.9,0.539,0,0.2,0,7.5,13.8,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,2.3,18.8,garneke01
145,Pat Garrity,PF,31,ORL,31,0,9.2,0.9,2.6,0.338,0.3,1.2,0.216,0.6,1.4,0.442,0.388,0.1,0.2,0.8,0.3,1.1,1.4,0.4,0.2,0,0.5,1.1,2.1,garripa01
146,Pau Gasol*,C,27,TOT,66,66,35.6,7.2,13.5,0.534,0.1,0.2,0.25,7.1,13.2,0.539,0.536,4.4,5.5,0.807,2.3,6,8.4,3.2,0.5,1.5,1.9,2.1,18.9,gasolpa01
146,Pau Gasol*,C,27,MEM,39,39,36.7,7.2,14.3,0.501,0.1,0.4,0.267,7.1,13.9,0.507,0.504,4.5,5.5,0.819,2.4,6.4,8.8,3,0.4,1.4,2.1,2.2,18.9,gasolpa01
146,Pau Gasol*,C,27,LAL,27,27,34,7.3,12.3,0.589,0,0,0,7.3,12.3,0.59,0.589,4.3,5.4,0.789,2.3,5.6,7.8,3.5,0.5,1.6,1.6,2,18.8,gasolpa01
147,Rudy Gay,SF,21,MEM,81,81,37,7.7,16.7,0.461,1.7,4.8,0.346,6.1,12,0.507,0.511,3.1,3.9,0.785,1.7,4.4,6.2,2,1.4,1,2.3,2.8,20.1,gayru01
148,Mickaël Gelabale,SG,24,SEA,39,0,11.9,1.8,4,0.439,0.4,0.9,0.432,1.4,3.1,0.442,0.49,0.4,0.5,0.778,0.4,1.1,1.5,0.8,0.3,0.2,0.7,0.8,4.3,gelabmi01
149,Devean George,SF,30,DAL,53,4,15.5,1.4,3.9,0.357,0.4,1.3,0.324,1,2.6,0.374,0.411,0.5,0.6,0.706,0.5,2.1,2.6,0.7,0.4,0.2,0.5,1.7,3.7,georgde01
150,Daniel Gibson,PG,21,CLE,58,26,30.4,3.5,8,0.432,2,4.6,0.44,1.4,3.4,0.421,0.559,1.5,1.8,0.81,0.5,1.8,2.3,2.5,0.8,0.2,1.3,2.8,10.4,gibsoda01
151,Eddie Gill,PG,29,TOT,14,1,11,0.9,2.2,0.387,0.4,1.1,0.333,0.5,1.1,0.438,0.468,0.6,0.6,1,0.1,1.5,1.6,1.6,0.5,0.1,0.6,1.3,2.7,gilled01
151,Eddie Gill,PG,29,NJN,13,1,11.5,0.9,2.2,0.414,0.4,1.1,0.357,0.5,1.2,0.467,0.5,0.7,0.7,1,0.1,1.6,1.7,1.6,0.5,0.2,0.6,1.4,2.9,gilled01
151,Eddie Gill,PG,29,SEA,1,0,5,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,1,0,0,1,0,0,gilled01
152,Manu Ginóbili*,SG,30,SAS,74,23,31.1,6.1,13.3,0.46,2.1,5.3,0.401,4,8,0.499,0.54,5.1,6,0.86,0.9,3.9,4.8,4.5,1.5,0.4,2.7,2.3,19.5,ginobma01
153,Gordan Giriček,SG,30,TOT,56,0,14.8,2.4,5.4,0.44,0.6,1.8,0.364,1.7,3.6,0.478,0.5,0.4,0.5,0.885,0.3,1.4,1.7,1.1,0.4,0.1,0.9,1.5,5.8,giricgo01
153,Gordan Giriček,SG,30,UTA,22,0,12.7,1.9,4.6,0.402,0.5,1.5,0.353,1.3,3.1,0.426,0.461,0,0,1,0.3,1.1,1.4,0.7,0.6,0,1,1.1,4.3,giricgo01
153,Gordan Giriček,SG,30,PHI,12,0,9.2,1.1,3.4,0.317,0.4,1.3,0.333,0.7,2.2,0.308,0.378,0.5,0.7,0.75,0.1,1.1,1.2,0.9,0.3,0.1,0.7,0.8,3.1,giricgo01
153,Gordan Giriček,SG,30,PHO,22,0,20.1,3.6,7.2,0.497,0.9,2.3,0.38,2.7,5,0.55,0.557,0.7,0.8,0.941,0.4,1.9,2.3,1.6,0.4,0.1,1,2.2,8.8,giricgo01
154,Ryan Gomes,PF,25,MIN,82,74,29.7,4.8,10.5,0.457,0.7,2.2,0.33,4.1,8.3,0.491,0.492,2.3,2.8,0.83,1.6,4.2,5.8,1.8,0.8,0.1,1.2,1.9,12.6,gomesry01
155,Drew Gooden,PF,26,TOT,69,65,30.8,4.8,10.7,0.449,0,0.1,0,4.8,10.6,0.452,0.449,2.3,3.1,0.753,2.5,6,8.6,1.2,0.7,0.8,1.8,2.9,12,goodedr01
155,Drew Gooden,PF,26,CLE,51,51,30.7,4.5,10.3,0.444,0,0.1,0,4.5,10.2,0.446,0.444,2.2,3,0.728,2.3,6,8.3,1,0.7,0.6,1.8,2.8,11.3,goodedr01
155,Drew Gooden,PF,26,CHI,18,14,31,5.6,12.1,0.461,0,0.2,0,5.6,11.9,0.467,0.461,2.9,3.6,0.813,3.2,6.1,9.3,1.7,0.7,1.3,1.7,3.3,14,goodedr01
156,Ben Gordon,SG,24,CHI,72,27,31.8,6.4,14.8,0.434,2,4.8,0.41,4.5,10,0.445,0.5,3.7,4.1,0.908,0.6,2.5,3.1,3,0.8,0.1,2.1,2.4,18.6,gordobe01
157,Marcin Gortat,C,23,ORL,6,0,6.8,1.3,2.8,0.471,0,0,,1.3,2.8,0.471,0.471,0.3,0.5,0.667,1.3,1.3,2.7,0.3,0.2,0.2,0.3,0.7,3,gortama01
158,Joey Graham,SF,25,TOR,38,3,8.7,1.3,3,0.434,0.1,0.1,0.667,1.2,2.9,0.427,0.442,1,1.2,0.844,0.5,1.3,1.8,0.4,0.1,0,0.6,1.2,3.6,grahajo01
159,Stephen Graham,SF,25,IND,22,0,5.8,1.5,2.6,0.586,0.3,0.6,0.5,1.2,2,0.614,0.647,0.5,0.7,0.75,0.2,0.8,1,0.4,0.2,0,0.5,0.6,4,grahast01
160,Danny Granger,SF,24,IND,80,80,36,6.7,15.1,0.446,2.1,5.3,0.404,4.6,9.8,0.468,0.517,4,4.7,0.852,1.2,4.9,6.1,2.1,1.2,1.1,2.1,3.6,19.6,grangda01
161,Aaron Gray,C,23,CHI,61,1,10,1.7,3.3,0.505,0,0,0,1.7,3.3,0.507,0.505,0.9,1.6,0.566,1.1,1.6,2.8,0.7,0.3,0.3,0.9,1.9,4.3,grayaa01
162,Gerald Green,SF,22,TOT,30,0,12.1,1.7,5,0.344,0.5,1.3,0.385,1.2,3.7,0.33,0.394,1.1,1.4,0.829,0.4,1.7,2.1,1,0.3,0.1,1.1,1.5,5.1,greenge01
162,Gerald Green,SF,22,MIN,29,0,12.3,1.7,5.1,0.331,0.5,1.3,0.385,1.2,3.8,0.312,0.382,1.2,1.4,0.829,0.4,1.8,2.1,1,0.3,0.1,1.1,1.5,5.1,greenge01
162,Gerald Green,SF,22,HOU,1,0,4,3,3,1,0,0,,3,3,1,1,0,0,,2,0,2,0,0,0,0,2,6,greenge01
163,Jeff Green,SF,21,SEA,80,52,28.2,4,9.4,0.427,0.3,1,0.276,3.7,8.4,0.444,0.441,2.2,3,0.744,1.3,3.5,4.7,1.5,0.6,0.6,2,2.5,10.5,greenje02
164,Taurean Green,SG-PG,21,TOT,17,0,4.4,0.4,1.5,0.28,0.1,0.6,0.182,0.3,0.8,0.357,0.32,0.6,0.7,0.917,0,0.6,0.6,0.6,0.1,0,0.5,0.3,1.6,greenta01
164,Taurean Green,PG,21,POR,8,0,5.5,0.5,2,0.25,0.1,1,0.125,0.4,1,0.375,0.281,1,1,1,0,0.5,0.5,1,0.1,0,0.9,0.4,2.1,greenta01
164,Taurean Green,SG,21,DEN,9,0,3.3,0.3,1,0.333,0.1,0.3,0.333,0.2,0.7,0.333,0.389,0.3,0.4,0.75,0,0.7,0.7,0.3,0.1,0,0.2,0.2,1.1,greenta01
165,Willie Green,SG,26,PHI,74,74,26.6,5.1,11.8,0.436,0.7,2.4,0.285,4.4,9.3,0.475,0.465,1.5,2,0.757,0.4,2,2.5,2,0.7,0.3,1.5,1.6,12.4,greenwi01
166,Orien Greene,SG,25,SAC,7,2,8.7,0.4,1.6,0.273,0,0.1,0,0.4,1.4,0.3,0.273,0,0,,0,0.9,0.9,0.4,0.4,0.1,1,1.3,0.9,greenor01
167,Adrian Griffin,SG-SF,33,TOT,35,2,8.8,0.9,2.2,0.395,0,0,,0.9,2.2,0.395,0.395,0.1,0.3,0.556,0.8,0.9,1.7,0.8,0.5,0.1,0.6,0.8,1.9,griffad01
167,Adrian Griffin,SG,33,CHI,22,2,10.1,1.1,2.7,0.4,0,0,,1.1,2.7,0.4,0.4,0.1,0.3,0.429,0.9,0.8,1.7,1,0.5,0,0.7,0.9,2.3,griffad01
167,Adrian Griffin,SF,33,SEA,13,0,6.5,0.5,1.2,0.375,0,0,,0.5,1.2,0.375,0.375,0.2,0.2,1,0.7,1,1.7,0.4,0.4,0.1,0.4,0.6,1.1,griffad01
168,Richard Hamilton,SG,29,DET,72,72,33.7,6.9,14.3,0.484,0.9,2,0.44,6.1,12.3,0.492,0.515,2.6,3.1,0.833,1,2.2,3.3,4.2,1,0.1,1.8,2.4,17.3,hamilri01
169,Anfernee Hardaway,SF,36,MIA,16,8,20.3,1.4,3.8,0.367,0.5,1.2,0.421,0.9,2.6,0.341,0.433,0.5,0.6,0.889,0.2,2,2.2,2.2,1.2,0.1,0.8,1.5,3.8,hardaan01
170,Matt Harpring,SF,31,UTA,76,0,18.1,3.1,6.2,0.5,0,0.1,0.2,3.1,6.1,0.506,0.502,1.9,2.7,0.712,1.3,1.9,3.2,1.1,0.6,0.2,1.3,2.1,8.2,harprma01
171,Al Harrington,C,27,GSW,81,59,27,5,11.4,0.434,1.9,5,0.375,3.1,6.4,0.482,0.517,1.8,2.3,0.774,1.3,4.1,5.4,1.6,0.9,0.2,1.1,3.3,13.6,harrial01
172,Othella Harrington,C,34,CHA,22,0,7.5,0.8,1.9,0.429,0,0,,0.8,1.9,0.429,0.429,0.5,0.7,0.625,0.5,1.4,1.9,0.2,0,0.2,0.5,1.5,2.1,harriot01
173,Devin Harris,PG,24,TOT,64,61,31.6,5,10.8,0.463,0.9,2.6,0.335,4.1,8.2,0.504,0.504,3.9,4.7,0.824,0.4,2.3,2.7,5.8,1.4,0.2,2.5,3,14.8,harride01
173,Devin Harris,PG,24,DAL,39,39,30.4,4.8,9.9,0.483,0.6,1.8,0.357,4.2,8.1,0.511,0.516,4.1,5,0.821,0.4,1.9,2.3,5.3,1.4,0.1,2.4,3.3,14.4,harride01
173,Devin Harris,PG,24,NJN,25,22,33.5,5.4,12.2,0.438,1.2,3.9,0.32,4.1,8.4,0.493,0.489,3.5,4.2,0.829,0.4,2.8,3.3,6.5,1.4,0.3,2.7,2.5,15.4,harride01
174,Mike Harris,PF,24,HOU,17,0,9.4,1.6,3.2,0.5,0,0.1,0,1.6,3.1,0.519,0.5,0.5,0.8,0.615,1.4,1.8,3.2,0.2,0.4,0.2,0.5,0.9,3.6,harrimi01
175,David Harrison,C,25,IND,55,0,12.8,1.6,3.1,0.529,0,0,,1.6,3.1,0.529,0.529,0.9,1.7,0.51,0.8,1.4,2.1,0.3,0.4,1.1,1.1,3,4.2,harrida01
176,Jason Hart,PG,29,UTA,57,0,10.6,1,3.2,0.322,0.2,0.5,0.355,0.8,2.6,0.315,0.353,0.7,0.8,0.844,0.1,0.9,1,1.5,0.5,0.1,0.5,1.3,2.9,hartja01
177,Udonis Haslem,PF,27,MIA,49,48,36.8,4.8,10.3,0.467,0,0,,4.8,10.3,0.467,0.467,2.3,2.9,0.81,2.2,6.9,9,1.4,0.8,0.4,1.4,3,12,hasleud01
178,Trenton Hassell,SG,28,TOT,63,6,12.3,0.9,2.1,0.422,0,0.1,0.222,0.9,2,0.437,0.43,0.1,0.2,0.7,0.3,1,1.3,0.7,0.2,0,0.3,1.4,2,hassetr01
178,Trenton Hassell,SG,28,DAL,37,6,12.5,1,2.2,0.463,0,0.1,0.25,1,2.1,0.474,0.469,0,0.1,0.5,0.3,0.9,1.2,0.7,0.2,0,0.4,1.5,2.1,hassetr01
178,Trenton Hassell,SG,28,NJN,26,0,11.9,0.8,2.1,0.364,0,0.2,0.2,0.7,1.9,0.38,0.373,0.2,0.3,0.75,0.3,1.2,1.5,0.6,0.2,0.1,0.3,1.3,1.8,hassetr01
179,Spencer Hawes,C,19,SAC,71,8,13.1,2.1,4.5,0.459,0.1,0.3,0.19,2,4.2,0.478,0.465,0.5,0.8,0.655,1,2.3,3.2,0.6,0.2,0.6,0.8,1.8,4.7,hawessp01
180,Chuck Hayes,PF,24,HOU,79,44,19.9,1.4,2.8,0.511,0,0,0,1.4,2.8,0.518,0.511,0.1,0.3,0.458,1.7,3.7,5.4,1.2,1.1,0.5,0.8,2.7,3,hayesch01
181,Jarvis Hayes,SF,26,DET,82,1,15.7,2.6,6.1,0.431,0.9,2.4,0.376,1.8,3.8,0.465,0.503,0.5,0.7,0.75,0.4,1.7,2.2,0.8,0.6,0.1,0.6,1.7,6.7,hayesja01
182,Brendan Haywood,C,28,WAS,80,80,27.9,4,7.5,0.528,0,0,,4,7.5,0.528,0.528,2.7,3.7,0.735,3.4,3.8,7.2,0.9,0.4,1.7,1.4,2.7,10.6,haywobr01
183,Luther Head,SG,25,HOU,73,17,18.9,2.8,6.5,0.432,1.1,3.1,0.351,1.7,3.5,0.504,0.515,0.9,1.1,0.815,0.2,1.6,1.8,1.9,0.6,0.1,1,1,7.6,headlu01
184,Walter Herrmann,PF,28,TOT,45,0,8.3,1.2,3.2,0.389,0.4,1.4,0.313,0.8,1.8,0.45,0.458,0.5,0.6,0.84,0.5,1.1,1.6,0.4,0.2,0,0.3,0.5,3.4,herrmwa01
184,Walter Herrmann,PF,28,CHA,17,0,10.2,1.5,3.8,0.385,0.5,1.5,0.346,0.9,2.3,0.41,0.454,0.5,0.6,0.9,0.6,1.5,2.1,0.2,0.2,0,0.2,0.7,4,herrmwa01
